Document_Id1	Document_Id2	Similarity
14242	14245	1.0000000000000002
12843	12834	0.726856410700381
1336	8369	1.0
2412	2421	0.8418146771436247
2848	2858	0.8696833310828318
11345	11383	0.9947867139924955
3316	3314	0.9040971325138054
2762	2764	0.8534214326154381
14341	3400	0.9015198266538268
8643	8729	0.9518674105402711
5974	2877	1.0000000000000002
4763	4733	1.0
15211	6319	1.0000000000000004
14342	3458	0.7769990740281223
8281	8282	0.9489772927437242
2455	9798	0.8776591489674999
7546	7579	0.8731574585218431
9052	9096	0.8335382521294048
8734	8607	0.8498976674031818
13926	7885	0.8146412277889065
3556	3553	0.8656489151056401
5234	13151	1.0000000000000004
12928	9473	0.8801693954447609
8784	8780	0.8856687242076842
11134	14873	0.9156872294942513
7134	14566	0.8539372230705087
7477	7476	0.8323164805722397
3955	3988	1.0000000000000002
6932	6922	0.9999999999999999
2344	2333	0.8786294229414284
2912	2931	1.0000000000000002
5342	5340	0.9679270413222545
2284	2298	0.9430188029968322
15145	15144	0.8758975917320673
8902	8907	0.9249588750381785
364	371	1.0
11222	7632	0.9544074533719206
5739	5830	0.7458086296111132
2792	2802	0.941216809432728
3320	3319	0.7892569456677301
901	899	0.9273372874927626
9947	9948	0.8960988533521539
11312	11318	0.8507748931820183
10452	10435	0.7476883814881192
2764	2762	0.8534214326154381
14237	2367	0.9290340069185237
3285	6851	0.80389092392118
8282	8281	0.9489772927437242
2758	231	0.8936555854869526
11317	11318	0.9379671057458956
6468	6467	0.8901195529161755
3100	3114	0.9251264911170803
10725	10693	0.9311746076069758
3338	7739	0.8085626332785032
7972	7969	0.7687829588453122
6528	6527	0.9600917112013262
4636	4637	0.8303786838328368
11492	11485	0.7670140775882509
14702	14707	0.9467101742082329
424	414	1.0
8585	8594	0.7669996769678772
7811	7809	0.8089244984774117
14146	1271	0.9036391409804625
11125	14873	0.8171678820128903
2406	2608	0.8044105202614139
2975	8579	0.8600494570852895
4153	4173	0.9104695157933391
2922	2911	1.0000000000000002
7818	7811	0.9553998939564669
2512	2527	0.905090823261718
8901	8900	1.0
1766	14183	0.9369762106814316
13340	5155	0.9999999999999998
7399	7398	0.8088872321293569
11476	11487	0.7401986210642959
5140	5166	1.0
315	312	0.9632336821935895
1795	14183	0.9221284160967702
3018	3026	0.9999999999999996
1700	1697	0.8707251132743803
7818	7809	0.7825977161809271
7412	7398	0.8860139787651096
11333	11334	0.7502432732034479
9963	9969	0.8866795981436613
1262	14140	0.7783938426698244
15310	15312	1.0000000000000002
9972	9974	0.9286351269236154
9480	9478	0.9931960883394478
12024	11817	1.0
2985	8579	0.8014522379719671
4815	4834	1.0000000000000002
4614	4038	0.9664156918428676
14625	7754	0.7292608518065278
11125	11134	0.8880561615918474
2877	5974	1.0000000000000002
2400	2386	0.9110140232618503
15185	1948	0.8377947963954412
7358	7354	0.8450057695409805
11317	11312	0.8969687379478234
14245	14242	1.0000000000000002
451	448	0.8568095022823484
9821	9825	1.0000000000000002
7825	7841	0.9468575104613137
